gene	marker_group	panel
PTPRC	Immune	canonical
TYROBP	Immune	canonical
LST1	Immune	canonical
PECAM1	Endothelial	canonical
VWF	Endothelial	canonical
CDH5	Endothelial	canonical
COL1A1	Stromal	canonical
COL1A2	Stromal	canonical
DCN	Stromal	canonical
LUM	Stromal	canonical
PDGFRA	Mesenchymal_or_stromal_progenitor	canonical
TCF21	Mesenchymal_or_stromal_progenitor	canonical
COL14A1	Mesenchymal_or_stromal_progenitor	canonical
PI16	Mesenchymal_or_stromal_progenitor	canonical
EPCAM	Epithelial	canonical
KRT8	Epithelial	canonical
KRT18	Epithelial	canonical
ACTA2	Mural_or_smooth_muscle	canonical
TAGLN	Mural_or_smooth_muscle	canonical
MYH11	Mature_smooth_muscle	canonical
CNN1	Mature_smooth_muscle	canonical
ACTG2	Mature_smooth_muscle	canonical
RGS5	Perivascular	canonical
PDGFRB	Perivascular	canonical
CSPG4	Perivascular	canonical
FSHR	Granulosa	canonical
FOXL2	Granulosa	canonical
INHA	Granulosa	canonical
CYP17A1	Steroidogenic_theca	canonical
CYP11A1	Steroidogenic_theca	canonical
STAR	Steroidogenic_theca	canonical
FIGLA	Oocyte_identity	canonical
NOBOX	Oocyte_identity	canonical
OOEP	Oocyte_maternal_core	canonical
ZP3	Oocyte_zona_support	canonical
MKI67	Cycling	canonical
TOP2A	Cycling	canonical
